Date,Open,High,Low,Close,Volume
05/01/2024,"182.00","185.86","179.01","179.99","92,829,719"
04/30/2024,"186.98","190.95","182.84","183.28","127,031,797"
04/29/2024,"188.42","198.87","184.54","194.05","243,869,703"
04/26/2024,"168.85","172.12","166.37","168.29","109,815,695"
04/25/2024,"158.96","170.88","158.36","170.18","126,427,508"
04/24/2024,"162.84","167.97","157.51","162.13","181,178,000"
04/23/2024,"143.33","147.26","141.11","144.68","124,545,102"
04/22/2024,"140.56","144.44","138.80","142.05","107,097,602"
04/19/2024,"148.97","150.94","146.22","147.05","87,074,492"
04/18/2024,"151.25","152.20","148.70","149.93","96,098,828"
04/17/2024,"157.64","158.33","153.78","155.45","82,439,719"
04/16/2024,"156.74","158.19","153.75","157.11","96,999,961"
04/15/2024,"170.24","170.69","161.38","161.48","100,245,297"
04/12/2024,"172.34","173.81","170.36","171.05","64,722,672"
04/11/2024,"172.55","175.88","168.51","174.60","94,515,992"
04/10/2024,"173.04","174.93","170.01","171.76","84,532,406"
04/09/2024,"172.91","179.22","171.92","176.88","103,232,703"
04/08/2024,"169.34","174.50","167.79","172.98","104,423,297"
04/05/2024,"169.08","170.86","160.51","164.90","143,157,594"
04/04/2024,"170.07","177.19","168.01","171.11","123,162,000"
04/03/2024,"164.02","168.82","163.28","168.38","82,950,141"
04/02/2024,"164.75","167.69","163.43","166.63","116,650,602"
04/01/2024,"176.17","176.75","170.21","175.22","81,562,125"
03/28/2024,"177.45","179.57","175.30","175.79","77,654,844"
03/27/2024,"181.41","181.91","176.00","179.83","81,804,039"
03/26/2024,"178.58","184.25","177.38","177.67","113,186,203"
03/25/2024,"168.76","175.24","168.73","172.63","74,228,625"
03/22/2024,"166.69","171.20","166.30","170.83","75,580,641"
03/21/2024,"176.39","178.18","171.80","172.82","73,178,008"
03/20/2024,"173.00","176.25","170.82","175.66","83,846,727"
03/19/2024,"172.36","172.82","167.42","171.32","77,271,430"
03/18/2024,"170.02","174.72","165.90","173.80","108,214,398"
03/15/2024,"163.16","165.18","160.76","163.57","97,146,828"
03/14/2024,"167.77","171.17","160.51","162.50","126,325,695"
03/13/2024,"173.05","176.05","169.15","169.48","106,524,492"
03/12/2024,"177.77","179.43","172.41","177.54","87,391,680"
03/11/2024,"175.45","182.87","174.80","177.77","85,391,531"
03/08/2024,"181.50","182.73","174.70","175.34","85,544,641"
03/07/2024,"174.35","180.04","173.70","178.65","102,129,000"
03/06/2024,"179.99","181.58","173.70","176.54","107,920,898"
03/05/2024,"183.05","184.59","177.57","180.74","119,660,797"
03/04/2024,"198.73","199.75","186.72","188.14","134,334,891"
03/01/2024,"200.52","204.52","198.50","202.64","82,243,117"
02/29/2024,"204.18","205.28","198.45","201.88","85,906,969"
02/28/2024,"200.42","205.30","198.44","202.04","99,806,172"
02/27/2024,"204.04","205.60","198.26","199.73","108,645,398"
02/26/2024,"192.29","201.78","192.00","199.40","111,747,102"
02/23/2024,"195.31","197.57","191.50","191.97","78,841,922"
02/22/2024,"194.00","198.32","191.36","197.41","92,739,453"
02/21/2024,"193.36","199.44","191.95","194.77","103,844,000"
02/20/2024,"196.13","198.60","189.13","193.76","104,545,797"
02/16/2024,"202.06","203.17","197.40","199.95","111,346,703"
02/15/2024,"189.16","200.88","188.86","200.45","120,831,797"
02/14/2024,"185.30","188.89","183.35","188.71","81,202,992"
02/13/2024,"183.99","187.26","182.11","184.02","86,759,477"
02/12/2024,"192.11","194.73","187.28","188.13","95,498,602"
02/09/2024,"190.18","194.12","189.48","193.57","84,476,352"
02/08/2024,"189.00","191.62","185.58","189.56","83,034,039"
02/07/2024,"188.18","189.79","182.68","187.58","111,535,203"
02/06/2024,"177.21","186.49","177.11","185.10","122,676,000"
02/05/2024,"184.26","184.68","175.01","181.06","134,294,406"
02/02/2024,"185.04","188.69","182.00","187.91","110,612,703"
02/01/2024,"188.50","189.88","184.28","188.86","91,843,281"
01/31/2024,"187.00","193.97","185.85","187.29","103,221,398"
01/30/2024,"195.33","196.36","190.61","191.59","109,982,305"
01/29/2024,"185.63","191.48","183.67","190.93","125,013,102"
01/26/2024,"185.50","186.78","182.10","183.25","107,343,203"
01/25/2024,"189.70","193.00","180.06","182.63","198,076,797"
01/24/2024,"211.88","212.73","206.77","207.83","123,369,906"
01/23/2024,"211.30","215.65","207.75","209.14","106,605,906"
01/22/2024,"212.26","217.80","206.27","208.80","117,952,492"
01/19/2024,"209.99","213.19","207.56","212.19","102,260,305"
01/18/2024,"216.88","217.45","208.74","211.88","108,595,398"
01/17/2024,"214.86","215.67","212.01","215.55","103,164,398"
01/16/2024,"215.10","223.49","212.18","219.91","115,355,000"
01/12/2024,"220.08","225.34","217.15","218.89","123,043,797"
01/11/2024,"230.57","230.93","225.37","227.22","105,873,602"
01/10/2024,"235.10","235.50","231.29","233.94","91,628,492"
01/09/2024,"238.11","238.96","232.04","234.96","96,705,664"
01/08/2024,"236.14","241.25","235.30","240.45","85,166,578"
01/05/2024,"236.86","240.12","234.90","237.49","92,488,945"
01/04/2024,"239.25","242.70","237.73","237.93","102,629,297"
01/03/2024,"244.98","245.68","236.32","238.45","121,082,602"
01/02/2024,"250.08","251.25","244.41","248.42","104,654,203"
12/29/2023,"255.10","255.19","247.43","248.48","100,891,602"
12/28/2023,"263.66","265.13","252.71","253.18","113,619,906"
12/27/2023,"258.35","263.34","257.52","261.44","106,494,398"
12/26/2023,"254.49","257.97","252.91","256.61","86,892,383"
12/22/2023,"256.76","258.22","251.37","252.54","93,370,086"
12/21/2023,"251.90","254.80","248.55","254.50","109,594,203"
12/20/2023,"256.41","259.84","247.00","247.14","125,097,000"
12/19/2023,"253.48","258.34","253.01","257.22","106,737,398"
12/18/2023,"253.78","258.74","251.36","252.08","116,416,492"
12/15/2023,"251.21","254.13","248.30","253.50","135,932,797"
12/14/2023,"241.22","253.88","240.79","251.05","160,829,203"
12/13/2023,"234.19","240.30","228.20","239.29","146,286,297"
12/12/2023,"238.55","238.99","233.87","237.01","95,328,312"
12/11/2023,"242.74","243.44","237.45","239.74","97,913,891"
12/08/2023,"240.27","245.27","239.27","243.84","103,126,797"
12/07/2023,"241.55","244.08","236.98","242.64","107,142,305"
12/06/2023,"242.92","246.57","239.17","239.37","126,436,203"
12/05/2023,"233.87","246.66","233.70","238.72","137,971,109"
12/04/2023,"235.75","239.37","233.29","235.58","104,099,797"
12/01/2023,"233.14","240.19","231.90","238.83","121,331,695"
11/30/2023,"245.14","245.22","236.91","240.08","132,353,203"
11/29/2023,"249.21","252.75","242.76","244.14","135,401,297"
11/28/2023,"236.68","247.00","234.01","246.72","148,549,906"
11/27/2023,"236.89","238.33","232.10","236.08","112,031,797"
11/24/2023,"233.75","238.75","232.33","235.45","65,125,199"
11/22/2023,"242.04","244.01","231.40","234.21","118,117,102"
11/21/2023,"235.04","243.62","233.34","241.20","122,288,000"
11/20/2023,"234.04","237.10","231.02","235.60","116,562,398"
11/17/2023,"232.00","237.39","226.54","234.30","142,766,203"
11/16/2023,"239.49","240.88","230.96","233.59","136,816,797"
11/15/2023,"239.29","246.70","236.45","242.84","150,354,000"
11/14/2023,"235.03","238.14","230.72","237.41","149,771,594"
11/13/2023,"215.60","225.40","211.61","223.71","140,447,594"
11/10/2023,"210.03","215.38","205.69","214.65","131,310,094"
11/09/2023,"219.75","220.80","206.68","209.98","142,110,500"
11/08/2023,"223.15","224.15","217.64","222.11","106,584,797"
11/07/2023,"219.98","223.12","215.72","222.18","116,900,094"
11/06/2023,"223.98","226.32","215.00","219.27","117,335,797"
11/03/2023,"221.15","226.37","218.40","219.96","119,534,797"
11/02/2023,"212.97","219.20","211.45","218.51","125,987,602"
11/01/2023,"204.04","205.99","197.85","205.66","121,661,695"
10/31/2023,"196.12","202.80","194.07","200.84","118,068,305"
10/30/2023,"209.28","210.88","194.67","197.36","136,448,188"
10/27/2023,"210.60","212.41","205.77","207.30","94,881,172"
10/26/2023,"211.32","214.80","204.88","205.76","115,112,602"
10/25/2023,"215.88","220.10","212.20","212.42","107,065,102"
